activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Activities of stock footage film libraries etc.,100074.0,59,591,5912,"Motion picture, video and television programme production activities",,SPC,
"Activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a principal, including on the internet",100075.0,46,461,4610,Wholesale on a fee or contract basis,,SPC,
Activities related to promotion of sporting events,100079.0,93,931,9319,Other sports activities,,SPC,
Address bar coding services,100084.0,82,829,8299,Other business support service activities n.e.c.,,SPC,
Adhesives Trading,100087.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SPC,
Administration of loyalty programmes,100088.0,82,829,8299,Other business support service activities n.e.c.,,SPC,
Administrative Consultancy and Studies,100089.0,70,702,7020,Management consultancy activities,,SPC,
Administrative services for businessmen,100090.0,82,821,8211,Combined office administrative service activities,,SPC,
Administrative Training Services,100091.0,85,855,8550,Educational support activities,,SPC,
Advertisement Agency,100096.0,73,731,7310,Advertising,,SPC,
Advertisement Material and Samples Distribution,100097.0,73,731,7310,Advertising,,SPC,
Advertisements Designing and Production,100096.0,73,731,7310,Advertising,,SPC,
Advertising,100096.0,73,731,7310,Advertising,,SPC,
Advertising Agency,100096.0,73,731,7310,Advertising,,SPC,
Advertising Requisites Trading; Gifts Trading,100099.0,46,464,4649,Wholesale of other household goods,,SPC,
Advertising Researches &amp; Consultancies,100100.0,73,731,7310,Advertising,,SPC,
Advertising Services Via Websites,100101.0,73,731,7310,Advertising,,SPC,
"Advice and help to businesses and public services in planning, organization, efficiency and control, management information etc.",100103.0,70,702,7020,Management consultancy activities,,SPC,
Advisory activities and representation on behalf of clients before tax authorities,100104.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SPC,
Advisory and Membership Frameworks and Digitization Management Consultancy,100105.0,94,941,9411,Activities of business and employers membership organizations,,SPC,
Agarwood & Incense Trading,100110.0,46,464,4649,Wholesale of other household goods,,SPC,
"Agents involved in the sale of agricultural raw materials, live animals, textiles, fuels, ores, metals, industrial chemicals, food and beverages, clothing, timber, machinery, furniture, and household goods.",100112.0,46,461,4610,Wholesale on a fee or contract basis,,SPC,
Agricultural Equipment & Machinery Rental,100119.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,SPC,
Agricultural Equipment &amp; Accessories Trading,100118.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,SPC,
Agricultural Equipment &amp; Machinery Spare Parts Trading,100120.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,SPC,
Agricultural Research &amp; Consultancy,100127.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
Agricultural Tools Trading,100128.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SPC,
Agricultural Tractors & Machinery Trading,100129.0,47,477,4773,Other retail sale of new goods in specialized stores,,SPC,
Agronomy consulting,100132.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
Air Condition Trading,100141.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
"Air-Condition, Refrigeration Spare Parts & Components Trading",100144.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
"Air-conditioning, Cooling, Heating and Ventilation Engineering Consultancy",100154.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Aircraft Scrap and Used Spare Parts Trading,100165.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SPC,
Aircraft Spare Parts and Components Trading,100167.0,47,477,4773,Other retail sale of new goods in specialized stores,,SPC,
Animal & Poultry Farms Equipment Trading,100207.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Animation & Illustration,100221.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Anti rust treatment,100226.0,45,452,4520,Maintenance and repair of motor vehicles,,SPC,
