activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
"Financial service activities primarily concerned with making loans by institutions not involved in monetary intermediation, where the granting of credit can take a variety of forms, such as loans, mortgages, credit cards etc., providing the following types of services:
 • Granting of consumer credit
 • International trade financing
 • Provision of long-term finance to industry by industrial banks
 • Money lending outside the banking system
 • Credit granting for house purchase by specialized non-depository institutions
 • Pawnshops and pawnbrokers",101426.0,64,649,6492,Other credit granting,,SHAMS,
"Financial transaction processing and settlement activities, including for credit card transactions",101427.0,66,661,6619,Other activities auxiliary to financial service activities,,SHAMS,
Fine arts schools (except academic),101432.0,85,854,8542,Cultural education,,SHAMS,
Fitting of heels,101479.0,95,952,9523,Repair of footwear and leather goods,,SHAMS,
Food preparation in market stalls,101516.0,56,561,5610,Restaurants and mobile food service activities,,SHAMS,
Forwarding of freight,101542.0,52,522,5229,Other transportation support activities,,SHAMS,
Fundraising organization services on a contract or fee basis,101579.0,63,639,6399,Other information service activities n.e.c.,,SHAMS,
Games Publishing,101587.0,58,582,5820,Software publishing,,SHAMS,
Gaming Industry Research Services,101599.0,72,721,7210,Research and experimental development on social sciences and humanities,,SHAMS,
Gaming Localization Services,101590.0,62,620,6202,Computer programming activities,,SHAMS,
Gaming Publisher,101587.0,58,581,5811,Software publishing,,SHAMS,
Gaming Streaming Social Media Platform,101603.0,60,601,6010,Television programming and broadcasting activities,,SHAMS,
Genealogical organizations,101628.0,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
"General (non-specialized) cleaning of all types of buildings, such as:
 • Offices
 • Houses or apartments
 • Factories
 • Shops
 • Institutions",101629.0,81,812,8121,General cleaning of buildings,,SHAMS,
General (non-specialized) cleaning of other business and professional premises and multiunit residential buildings these activities cover mostly interior cleaning although they may include the cleaning of associated exterior areas such as windows or passageways.,101629.0,81,812,8121,General cleaning of buildings,,SHAMS,
General cleaning of buildings,100490.0,81,812,8121,General cleaning of buildings,,SHAMS,
General facilities and services engineering consultancy,101637.0,81,811,8110,Combined facilities support activities,,SHAMS,
General time-share provision of mainframe facilities to clients,101645.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
General Trading,101646.0,46,469,4690,Non-specialized wholesale trade,,SHAMS,
"Geodetic surveying activities:
 • Land and boundary surveying activities
 • Hydrologic surveying activities
 • Subsurface surveying activities
 • Cartographic and spatial information activities",101654.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
"Geophysical, geologic and seismic surveying",101658.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
Gifts trading,101664.0,46,464,4649,Wholesale of other household goods,,SHAMS,
Global Television Networks Programs Rebroadcasting Services,101680.0,60,602,6020,Television programming and broadcasting activities,,SHAMS,
"Goods-handling operations, e.g. temporary crating for the sole purpose of protecting the goods during transit, uncrating, sampling, weighing of goods",101692.0,52,522,5229,Other transportation support activities,,SHAMS,
Grant giving activities by membership organizations or others,101705.0,94,949,9499,Activities of other membership organizations n.e.c.,,SHAMS,
Gymnastics instruction,101727.0,85,854,8541,Sports and recreation education,,SHAMS,
Head offices,101751.0,70,701,7010,Activities of head offices,,SHAMS,
Health management consulting services,101762.0,70,702,7020,Management consultancy activities,,SHAMS,
Holograms production,101791.0,18,181,1812,Service activities related to printing,,SHAMS,
Home delivery services,101792.0,53,532,5320,Courier activities,,SHAMS,
Hospitality and tourism training services,101808.0,85,854,8549,Other education n.e.c.,,SHAMS,
Hospitality management consultancy,101809.0,70,702,7020,Management consultancy activities,,SHAMS,
Hospitality services,101810.0,56,562,5621,Event catering,,SHAMS,
Human resources consultancy,101829.0,70,702,7020,Management consultancy activities,,SHAMS,
Ice cream truck vendors,101838.0,56,561,5610,Restaurants and mobile food service activities,,SHAMS,
Immigration consultancy,101850.0,70,702,7020,Management consultancy activities,,SHAMS,
"Industrial design, i.e. creating and developing designs and specifications that optimize the use, value and appearance of products, including the determination of the materials, construction, mechanism, shape, colour and surface finishes of the product, taking into consideration human characteristics and needs, safety, market appeal and efficiency in production, distribution, use and maintenance",101868.0,74,741,7410,Specialized design activities,,SHAMS,
Information search services on a contract or fee basis,101891.0,63,639,6399,Other information service activities n.e.c.,,SHAMS,
Information Technology Consultants,101894.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
Innovation and artificial intelligence research and consultancies,101904.0,70,702,7020,Management consultancy activities,,SHAMS,
Installation (setting-up) of personal computers,101911.0,62,620,6209,Other information technology and computer service activities,,SHAMS,
"Installation in buildings or other construction projects of:
  • Elevators, escalators
  • Automated and revolving doors
  • Lightning conductors
  • Vacuum cleaning systems
  • Thermal, sound or vibration insulation",101916.0,43,432,4321,Electrical installation,,SHAMS,
"Installation in buildings or other construction projects of:
  • Heating systems (electric, gas and oil)
  • Furnaces, cooling towers
  • Non-electric solar energy collectors
  • Plumbing and sanitary equipment
  • Ventilation, refrigeration or air-conditioning equipment and ducts
  • Gas fittings
  • Steam piping
  • Fire sprinkler systems
  • Lawn sprinkler systems",101917.0,43,432,4321,Electrical installation,,SHAMS,
Installation of bowling alley equipment,101918.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
Installation of industrial machinery and equipment,101925.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
Installation of industrial machinery in industrial plant,101926.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
Installation of industrial process control equipment,101927.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
"Installation of other industrial equipment, e.g.:
  • Communications equipment
  • Mainframe and similar computers
  • Irradiation and electromedical equipment etc.",101930.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
"Installation of:
  • Electrical wiring and fittings
  • Telecommunications wiring
  • Computer network and cable television wiring, including fibre optic
  • Satellite dishes
  • Lighting systems
  • Fire alarms
  • Burglar alarm systems
  • Street lighting and electrical signals
  • Airport runway lighting",101934.0,43,432,4321,Electrical installation,,SHAMS,
Insurance,101944.0,65,651,6510,Insurance,,SHAMS,
Intellectual property services,101953.0,77,774,7740,"Leasing of intellectual property and similar products, except copyrighted works",,SHAMS,
Interactive services,101955.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
Interactive Services,101955.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
"Interdisciplinary research and development, predominantly on social sciences and humanities",101957.0,72,722,7220,Research and experimental development on social sciences and humanities,,SHAMS,
Internet Content Provider,101973.0,63,639,6391,"Data processing, hosting and related activities",,SHAMS,
Internet retail auctions,101975.0,47,479,4791,Retail sale via mail order houses or via Internet,,SHAMS,
"Investigation into collective opinions of the public about political, economic and social issues and statistical analysis thereof",101979.0,73,732,7320,Market research and public opinion polling,,SHAMS,
"Investigation into market potential, acceptance and familiarity of products and buying habits of consumers for the purpose of sales promotion and development of new products, including statistical analyses of the results",101980.0,73,732,7320,Market research and public opinion polling,,SHAMS,
Investment advisory services,101982.0,66,661,6619,Other activities auxiliary to financial service activities,,SHAMS,
"Is class includes the activities of holding companies, i.e. units that hold the assets (owning controlling-levels of equity) of a group of subsidiary corporations and whose principal activity is owning the group. the holding companies in this class do not provide any other service to the businesses in which the equity is held, i.e. they do not administer or manage other units.",102002.0,64,642,6420,Activities of holding companies,,SHAMS,
Issue and procurement of transport documents and waybills,102005.0,52,522,5229,Other transportation support activities,,SHAMS,
IT security management,102010.0,62,620,6209,Other information technology and computer service activities,,SHAMS,
Landscape care and maintenance service activities,102063.0,81,813,8130,Landscape care and maintenance service activities,,SHAMS,
Language instruction and conversational skills instruction,102066.0,85,854,8549,Other education n.e.c.,,SHAMS,
Laser Shows Presentation,102071.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Lawn mowers however operated,102079.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,SHAMS,
Learning centres offering remedial courses,102083.0,85,854,8549,Other education n.e.c.,,SHAMS,
"Leasing of intellectual property and similar products, except copyrighted works",102085.0,77,774,7740,"Leasing of intellectual property and similar products, except copyrighted works",,SHAMS,
"Leasing of intellectual property products (except copyrighted works, such as books or software)",102085.0,77,774,7740,"Leasing of intellectual property and similar products, except copyrighted works",,SHAMS,
Leasing where the term approximately covers the expected life of the asset and the lessee acquires substantially all the benefits of its use and takes all the risks associated with its ownership. the ownership of the asset may or may not eventually be transferred. such leases cover all or virtually all costs including interest.,102087.0,64,649,6491,Financial leasing,,SHAMS,
Letter or resume writing,102099.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,SHAMS,
Life insurance,102103.0,65,651,6511,Life insurance,,SHAMS,
Lifeguard training,102107.0,85,854,8549,Other education n.e.c.,,SHAMS,
Lifestyle consultancy,102108.0,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
Lifestyle development consultancy,102108.0,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
Light Archiving,102115.0,63,639,6391,"Data processing, hosting and related activities",,SHAMS,
Loading and unloading of freight railway cars,102136.0,52,522,5224,Cargo handling,,SHAMS,
Loading and unloading of goods or passengers’ luggage irrespective of the mode of transport used for transportation,102137.0,52,522,5224,Cargo handling,,SHAMS,
Lobbying activities,102140.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
"Logistics activities, i.e. planning, designing and supporting operations of transportation, warehousing and distribution",102147.0,52,522,5229,Other transportation support activities,,SHAMS,
Logistics consultancy,102148.0,70,702,7020,Management consultancy activities,,SHAMS,
Machine rigging,102158.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
Mail presorting services,102163.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Maintaining and operating paging as well as cellular and other wireless telecommunications networks.,102164.0,61,612,6120,Wireless telecommunications activities,,SHAMS,
Maintenance of land in order to keep it in good ecological condition,102169.0,81,813,8130,Landscape care and maintenance service activities,,SHAMS,
Management consultancy activities,102177.0,70,702,7020,Management consultancy activities,,SHAMS,
Managing & Operating a Casting Agency,102182.0,78,781,7810,Activities of employment placement agencies,,SHAMS,
Managing & Operating a Modelling Agency,102183.0,78,781,7810,Activities of employment placement agencies,,SHAMS,
"Managing Operations of facilities for indoor or outdoor sports events (open, closed or covered, with or without spectator seating): 
• Supervision of Racetracks for auto 
• Supervision of Football, hockey, cricket, baseball, jai-alai stadiums
• Supervision of Swimming pools and stadiums
• Supervision of Track and field stadiums
• Supervision of Winter sports arenas and stadiums
• Supervision of Ice-hockey arenas
• Supervision of Boxing arenas
• Supervision of Golf courses
• Supervision of Bowling lanes
• Supervision of Fitness centers",102181.0,93,931,9311,Operation of sports facilities,,SHAMS,
"Managing operations of sports clubs:
• Supervision of Football clubs
• Supervision of Bowling clubs
• Supervision of Swimming clubs
• Supervision of Golf clubs
• Supervision of Boxing clubs
• Supervision of Body-building clubs
• Supervision of Winter sports clubs
• Supervision of Chess clubs
• Supervision of Track and field clubs
• Supervision of Shooting clubs, etc.",102182.0,93,931,9312,Activities of sports clubs,,SHAMS,
Managing operations of sports facilities,102182.0,93,931,9311,Operation of sports facilities,,SHAMS,
Managing organization and operation of outdoor or indoor sports events for professionals or amateurs by organizations with own facilities this class includes managing and providing the staff to operate these facilities.,102183.0,93,931,9311,Operation of sports facilities,,SHAMS,
Marine services consultancy,102606.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
Market research and public opinion polling,102624.0,73,732,7320,Market research and public opinion polling,,SHAMS,
Marketing & Selling events tickets,102625.0,79,799,7990,Other reservation service and related activities,,SHAMS,
Marketing festivals and art events,102628.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
"Marketing Consultancy, Media Buying and Web Development",102629.0,73,731,7310,Market research and public opinion polling,,SHAMS,
Marketing Services Via Social Media,102633.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
"Marketing, public relations & communication consultancy",102634.0,70,702,7020,Management consultancy activities,,SHAMS,
Martial arts instruction,102636.0,85,854,8541,Sports and recreation education,,SHAMS,
Mass Media Engineering Consultancy,102637.0,70,702,7020,Management consultancy activities,,SHAMS,
Media archiving,102659.0,59,591,5913,"Motion picture, video and television programme distribution activities",,SHAMS,
"Media consultancy:
• Broadcasting
• Press
• News
• TV & Radio
• Production
• Post-Production",102658.0,70,702,7020,Management consultancy activities,,SHAMS,
Media content production,102661.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Media equipment rental,102662.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,SHAMS,
Media Facilities,102663.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Media Hardware Equipment and System Integration services,102664.0,62,620,6201,Computer programming activities,,SHAMS,
Media monitoring,102665.0,73,732,7320,Market research and public opinion polling,,SHAMS,
Media Monitoring Services,102665.0,73,731,7310,Market research and public opinion polling,,SHAMS,
Media Production and Translation Services,102666.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
"Media Production Services, Media and Marketing Consultancy",102658.0,70,702,7020,Management consultancy activities,,SHAMS,
Media representation,102667.0,73,731,7310,Advertising,,SHAMS,
Media support services,102670.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Media Training,102671.0,73,732,7320,Market research and public opinion polling,,SHAMS,
Metaverse Services Provider,102724.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
Microfilming of documents,102726.0,74,742,7420,Photographic activities,,SHAMS,
Mobile food carts,,56,561,5610,Restaurants and mobile food service activities,,SHAMS,
"Motion picture or videotape projection in cinemas, in the open air or in other projection facilities",102744.0,59,591,5914,Motion picture projection activities,,SHAMS,
Motion picture projection activities,102744.0,59,591,5914,Motion picture projection activities,,SHAMS,
Motion Picture Studio,,59,591,5913,"Motion picture, video and television programme production activities",,SHAMS,
"Motion picture, video and television programme activities",102746.0,59,591,5910,"Motion picture, video and television programme activities",,SHAMS,
"Motion picture, video and television programme distribution activities",102747.0,59,591,5913,"Motion picture, video and television programme distribution activities",,SHAMS,
"Motion picture, video and television programme post-production activities",102748.0,59,591,5912,"Motion picture, video and television programme post-production activities",,SHAMS,
"Motion picture, video and television programme production activities",102745.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Multi dimensional printing services,103577.0,18,181,1811,Service activities related to printing,,SHAMS,
Multimedia development,,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Music Band,,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Music consultancy,102753.0,70,702,7020,Management consultancy activities,,SHAMS,
Music production & recordings,,59,592,5920,Sound recording and music publishing activities,,SHAMS,
Music promotion & management,,59,592,5920,Sound recording and music publishing activities,,SHAMS,
"Music publishing, i.e. activities of:
 • Acquiring and registering copyrights for musical compositions
 • Promoting, authorizing and using these compositions in recordings, radio, television, motion pictures, live performances, print and other media
 • Distributing sound recordings to wholesalers, retailers or directly to the public.",,59,592,5920,Sound recording and music publishing activities,,SHAMS,
Music training,,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Network Websites Contents Entering and Supplying,102757.0,63,639,6391,"Data processing, hosting and related activities",,SHAMS,
Network Websites Designing,102758.0,62,620,6202,Computer programming activities,,SHAMS,
News agency activities,102762.0,63,639,6391,News agency activities,,SHAMS,
"News clipping services, press clipping services, etc.",102763.0,63,639,6399,Other information service activities n.e.c.,,SHAMS,
News services through websites,,63,639,6391,News agency activities,,SHAMS,
"News syndicate and news agency activities furnishing news, pictures and features to the media",102764.0,63,639,6391,News agency activities,,SHAMS,
Non-life insurance,102772.0,65,651,6512,Non-life insurance,,SHAMS,
Non-specialized wholesale trade,,46,469,4690,Non-specialized wholesale trade,,SHAMS,
On-line publishing of statistics or other information,102797.0,58,581,5811,Other publishing activities,,SHAMS,
Online advertising,102799.0,73,731,7310,Advertising,,SHAMS,
Online Gaming Services,102800.0,61,611,6110,Other telecommunications activities,,SHAMS,
Online Marketing Services,,73,731,7310,Advertising,,SHAMS,
Online news services,,61,619,6190,Other telecommunications activities,,SHAMS,
"Online Training, Project Management Services, Online Store for Consumer Products",,82,829,8299,Combined office administrative service activities,,SHAMS,
Operating & managing cinemas,,82,821,8211,Combined office administrative service activities,,SHAMS,
Operating TV & Radio Broadcasting Stations except content managment,,60,602,6020,Television programming and broadcasting activities,,SHAMS,
"Operating, maintaining or providing access to facilities for the transmission of voice, data, text, sound and video using a satellite telecommunications infrastructure",,61,611,6110,Wired telecommunications activities,,SHAMS,
"Operating, maintaining or providing access to facilities for the transmission of voice, data, text, sound and video using a wired telecommunications infrastructure, including:
 • Operating and maintaining switching and transmission facilities to provide point-top oint communications via landlines, microwave or a combination of landlines and satellite linkups
 • Operating of cable distribution systems (e.g. for distribution of data and television signals)
 • Furnishing telegraph and other non-vocal communications using own facilities the transmission facilities that carry out these activities, may be based on a single technology or a combination of technologies.",,61,611,6110,Wired telecommunications activities,,SHAMS,
"Operating, maintaining or providing access to facilities for the transmission of voice, data, text, sound, and video using a wireless telecommunications infrastructure",,61,611,6110,Wired telecommunications activities,,SHAMS,
"Operation of canteens or cafeterias (e.g. for factories, offices, hospitals or schools) on a concession basis",,56,562,5629,Other food service activities,,SHAMS,
Operation of concert and theatre halls and other arts facilities,,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Operation of food concessions at sports and similar facilities,,56,562,5629,Other food service activities,,SHAMS,
"Operation of other websites that act as portals to the internet, such as media sites providing periodically updated content",,63,631,6312,Web portals,,SHAMS,
Operation of police laboratories,,86,869,8690,Other human health activities,,SHAMS,
Operation of residential mobile home sites,,55,552,5520,"Camping grounds, recreational vehicle parks and trailer parks",,SHAMS,
Operation of satellite terminal stations and associated facilities operationally connected with one or more terrestrial communications systems and capable of transmitting telecommunications to or receiving telecommunications from satellite systems,,61,619,6190,Other telecommunications activities,,SHAMS,
Operation of satellite terminal stations and associated facilities operationally connected with one or more terrestrial communications systems and capable of transmitting telecommunications to or receiving telecommunications from satellite systems,,61,619,6190,Other telecommunications activities,,SHAMS,
Operation of sport fishing and hunting preserves,,91,910,9103,Botanical and zoological gardens and nature reserves activities,,SHAMS,
Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format,,63,631,6312,Web portals,,SHAMS,
Organazing Digital Gaming events,,93,931,9319,Other sports activities,,SHAMS,
Organazing Sports & Entertainment Games,,93,931,9311,Operation of sports facilities,,SHAMS,
Organization of conventions and trade shows,102803.0,82,823,8230,Organization of conventions and trade shows,,SHAMS,
Organization of group and individual consignments (including pickup and delivery of goods and grouping of consignments),,52,522,5229,Other transportation support activities,,SHAMS,
"Organization, promotion and/or management of events, such as business and trade shows, conventions, conferences and meetings, whether or not including the management and provision of the staff to operate the facilities in which these events take place",,82,823,8230,Organization of conventions and trade shows,,SHAMS,
Organizing E-Sports Events,,93,931,9319,Other sports activities,,SHAMS,
Organizing exhibitions of art works,,82,823,8230,Organization of conventions and trade shows,,SHAMS,
Other activities auxiliary to financial service activities,102804.0,66,661,6619,Other activities auxiliary to financial service activities,,SHAMS,
Other activities auxiliary to insurance and pension funding,,66,662,6629,Other activities auxiliary to insurance and pension funding,,SHAMS,
Other building and industrial cleaning activities,,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
"Other building and industrial cleaning activities, n.e.c.",,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
Other business support service activities n.e.c.,,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Other construction installation,,43,432,4321,Electrical installation,,SHAMS,
Other credit granting,,64,649,6492,Other credit granting,,SHAMS,
Other education,,85,854,8540,Other education,,SHAMS,
Other education n.e.c.,,85,854,8549,Other education n.e.c.,,SHAMS,
"Other financial service activities primarily concerned with distributing funds other than by making loans:
 • Factoring activities
 • Writing of swaps, options and other hedging arrangements
 • Activities of viatical settlement companies",,64,649,6499,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,SHAMS,
"Other financial service activities, except insurance and pension funding activities",102805.0,64,649,6490,"Other financial service activities, except insurance and pension funding activities",,SHAMS,
"Other financial service activities, except insurance and pension funding activities, n.e.c.",102805.0,64,649,6490,"Other financial service activities, except insurance and pension funding activities",,SHAMS,
Other food service activities,,56,562,5629,Other food service activities,,SHAMS,
"Other graphic activities such as die-sinking or die-stamping, braille copying, punching and drilling, embossing, varnishing and laminating, collating and insetting, creasing",103593.0,18,181,1812,Service activities related to printing,,SHAMS,
Other human resources provision,102806.0,78,783,7830,Other human resources provision,,SHAMS,
Other information service activities,102807.0,63,639,6390,Other information service activities,,SHAMS,
Other information service activities n.e.c.,102807.0,63,639,6399,Other information service activities n.e.c.,,SHAMS,
Other information technology and computer service activities,102808.0,62,620,6209,Other information technology and computer service activities,,SHAMS,
Other personal service activities,,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
Other personal service activities n.e.c.,,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
Other production activties,103398.0,10,101,1010,Processing and preserving of meat,,SHAMS,
"Other professional, scientific and technical activities n.e.c.",,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Other publishing activities,102809.0,58,581,5819,Other publishing activities,,SHAMS,
Other reservation service and related activities,102811.0,79,799,7990,Other reservation service and related activities,,SHAMS,
Other retail sale in non-specialized stores,,47,471,4719,Other retail sale in non-specialized stores,,SHAMS,
"Other retail sale not in stores, stalls or markets",,47,479,4799,"Other retail sale not in stores, stalls or markets",,SHAMS,
Other retail sale of new goods in specialized stores,,47,477,4773,Other retail sale of new goods in specialized stores,,SHAMS,
Other specialized wholesale,,46,466,4660,Other specialized wholesale,,SHAMS,
Other sports activities,,93,931,9319,Other sports activities,,SHAMS,
Other support activities typically provided to businesses not elsewhere classified,,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Other technical consulting,,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Other telecommunications activities,,61,619,6190,Other telecommunications activities,,SHAMS,
Other transportation support activities,,52,522,5229,Other transportation support activities,,SHAMS,
"Own-account investment activities, such as by venture capital companies, investment clubs etc.",,64,649,6499,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,SHAMS,
Packaging activities,102812.0,82,829,8292,Packaging activities,,SHAMS,
"Packaging activities on a fee or contract basis, whether or not these involve an automated process:
 • Bottling of liquids, including beverages and food
 • Packaging of solids (blister packaging, foil-covered etc.)
 • Security packaging of pharmaceutical preparations
 • Labeling, stamping and imprinting
 • Parcel-packing and gift-wrapping",102813.0,82,829,8292,Packaging activities,,SHAMS,
"Packaging activities, Printing Services",102812.0,18,181,1811,Service activities related to printing,,SHAMS,
Parking meter coin collection services,102834.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Parties and Occasions Photographing,,74,742,7420,Photographic activities,,SHAMS,
Patent brokerage activities (arranging for the purchase and sale of patents),102841.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
"Performance of physical, chemical and other analytical testing of all types of materials and products (see below for exceptions):
 • Acoustics and vibration testing
 • Testing of composition and purity of minerals etc.
 • Testing activities in the field of food hygiene, including veterinary testing and control in relation to food production
 • Testing of physical characteristics and performance of materials, such as strength, thickness, durability, radioactivity etc.
 • Qualification and reliability testing
 • Performance testing of complete machinery: motors, automobiles, electronic equipment etc.
 • Radiographic testing of welds and joints
 • Failure analysis
 • Testing and measuring of environmental indicators: air and water pollution etc.",,71,712,7120,Technical testing and analysis,,SHAMS,
Performing Art training,,85,854,8542,Cultural education,,SHAMS,
Performing arts management,,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Performing arts schools (except academic),,85,854,8542,Cultural education,,SHAMS,
Periodic road-safety testing of motor vehicles,,71,712,7120,Technical testing and analysis,,SHAMS,
"Personnel search, selection referral and placement activities, including executive placement and search activities",102847.0,78,781,7810,Activities of employment placement agencies,,SHAMS,
"Pet care services such as boarding, grooming, sitting and training pets",102851.0,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
Photocopying,102861.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,SHAMS,
Photographic activities,102864.0,74,742,7420,Photographic activities,,SHAMS,
Photography for construction projects,,74,742,7420,Photographic activities,,SHAMS,
Photography schools (except commercial),102870.0,85,854,8542,Cultural education,,SHAMS,
Photography training,102872.0,85,854,8549,Other education n.e.c.,,SHAMS,
Piano teachers and other music instruction,103307.0,85,854,8542,Cultural education,,SHAMS,
Piano-tuning,103301.0,95,952,9529,Repair of other personal and household goods,,SHAMS,
"Pickup, sorting, transport and delivery (domestic or international) of letter-post and (mail-type) parcels and packages by firms not operating under a universal service obligation. one or more modes of transport may be involved and the activity may be carried out with either self-owned (private) transport or via public transport.",103303.0,53,532,5320,Courier activities,,SHAMS,
Pizza delivery,103300.0,56,561,5610,Restaurants and mobile food service activities,,SHAMS,
"Planning and designing of computer systems that integrate computer hardware, software and communication technologies.",,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
"Planting, care and maintenance of:
 • Parks and gardens for:
 1. Private and public housing
 2. Public and semi-public buildings (schools, hospitals, administrative buildings,
  church buildings etc.)
 3. Municipal grounds (parks, green areas, cemeteries etc.)
 4. Highway greenery (roads, train lines and tramlines, waterways, ports)
 5. Industrial and commercial buildings
 • Greenery for:
 1. Buildings (roof gardens, façade greenery, indoor gardens)
 2. Sports grounds (e.g. football fields, golf courses etc.), play grounds, lawns for sunbathing and other recreational parks
 3. Stationary and flowing water (basins, alternating wet areas, ponds, swimming pools, ditches, watercourses, plant sewage systems)
 • Plants for protection against noise, wind, erosion, visibility and dazzling",103193.0,81,813,8130,Landscape care and maintenance service activities,,SHAMS,
Plate processes direct to plate (also photopolymer plates),102880.0,18,181,1812,Service activities related to printing,,SHAMS,
Plate-making services including imagesetting and plate-setting (for the printing processes letterpress and offset),102881.0,18,181,1812,Service activities related to printing,,SHAMS,
"Plumbing, heat and air-conditioning installation",102883.0,43,432,4322,"Plumbing, heat and air-conditioning installation",,SHAMS,
Pop Arts Shows,,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
"Porters, valet car parkers etc.",102887.0,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
"Post-production activities such as:
 • Editing, titling, subtitling, credits
 • Closed captioning
 • Computer-produced graphics, animation and special effects
 • Film/tape transfers",102748.0,59,591,5912,"Motion picture, video and television programme post-production activities",,SHAMS,
Preparation of personal and business income tax returns,,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SHAMS,
Preparation of plates and dies for relief stamping or printing,103594.0,18,181,1812,Service activities related to printing,,SHAMS,
Preparation or auditing of financial accounts,,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SHAMS,
Press Material Preparation and Distribution,,63,639,6399,Other information service activities n.e.c.,,SHAMS,
Printing,103578.0,18,181,1811,Printing,,SHAMS,
Printing and service activities related to printing,103576.0,18,181,1810,Printing and service activities related to printing,,SHAMS,
"Printing directly onto textiles, plastic, glass, metal, wood and ceramics (except silkscreen printing on textiles and wearing apparel) the material printed is typically copyrighted.",102895.0,18,181,1811,Printing,,SHAMS,
Printing Equipment & Instruments Trading,102896.0,46,461,4610,Wholesale of other machinery and equipment,,SHAMS,
"Printing of newspapers, magazines and other periodicals, books and brochures, music and music manuscripts, maps, atlases, posters, advertising catalogues, prospectuses and other printed advertising, postage stamps, taxation stamps, documents of title, cheques and other security papers, diaries, calendars, business forms and other commercial printed matter, personal stationery and other printed matter by letterpress, offset, photogravure, flexographic and other printing presses, duplication machines, computer printers, embossers etc., including quick printing. the material printed is typically copyrighted",103583.0,18,181,1811,Printing,,SHAMS,
"Printing on labels or tags (lithographic, gravure printing, flexographic printing, other)",103588.0,18,181,1811,Printing,,SHAMS,
"Printing,Advertising Agencies And Event Organizing",,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Procurement consulting,,70,702,7020,Management consultancy activities,,SHAMS,
Production models by the three-dimensional imaging,,32,329,3290,Other manufacturing n.e.c.,,SHAMS,
