activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
"Activities of radio networks, i.e. assembling and transmitting aural programming to the affiliates or subscribers via over-the-air broadcasts, cable or satellite",100068.0,60,601,6010,Radio broadcasting,,SHAMS,
"Activities of sculptors, painters, cartoonists, engravers, etchers etc.",100070.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Activities of sea-freight forwarders and air-cargo agents,100071.0,52,522,5229,Other transportation support activities,,SHAMS,
Activities of sports clubs,100072.0,93,931,9312,Activities of sports clubs,,SHAMS,
Activities of sports leagues and regulating bodies,100073.0,93,931,9319,Other sports activities,,SHAMS,
Activities of stock footage film libraries etc.,100074.0,59,591,5912,"Motion picture, video and television programme post-production activities",,SHAMS,
"Activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a principal, including on the internet",100075.0,46,461,4610,Wholesale on a fee or contract basis,,SHAMS,
Activities of wholesale auctioneering houses,100078.0,46,461,4610,Wholesale on a fee or contract basis,,SHAMS,
Activities related to promotion of sporting events,100079.0,93,931,9319,Other sports activities,,SHAMS,
Address bar coding services,100084.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Administration of loyalty programmes,100088.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Advertising,100096.0,73,731,7310,Advertising,,SHAMS,
Advertising Agency,100096.0,73,731,7310,Advertising,,SHAMS,
"Advice and help to businesses and public services in planning, organization, efficiency and control, management information etc.",100103.0,70,702,7020,Management consultancy activities,,SHAMS,
Advisory activities and representation on behalf of clients before tax authorities,100104.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SHAMS,
Agronomy consulting,100132.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Air Photography,100148.0,74,742,7420,Photographic activities,,SHAMS,
Alternative Energy activities,100187.0,72,721,7210,Research and experimental development on natural sciences and engineering,,SHAMS,
Alternative Energy Consultancy,100187.0,72,721,7210,Research and experimental development on natural sciences and engineering,,SHAMS,
Application service provisioning,100232.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
"Appraisal activities other than for real estate and insurance (for antiques, jewellery, etc.)",100234.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Architectural and engineering activities and related technical consultancy,100248.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
"Architectural consulting activities:
 • Building design and drafting
 • Town and city planning and landscape architecture",100249.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
"Arranging and assembling tours that are sold through travel agencies or directly by tour operators. the tours may include any or all of the following:
 • Transportation
 • Accommodation
 • Food
 • Visits to museums, historical or cultural sites, theatrical, musical or sporting events.",100256.0,79,791,7912,Tour operator activities,,SHAMS,
"Arranging or organizing of transport operations by rail, road, sea or air",100257.0,52,522,5229,Other transportation support activities,,SHAMS,
Art consulting,100258.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Art instruction,100261.0,85,854,8542,Cultural education,,SHAMS,
Art production,100262.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Art Production Services Contracts,100263.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Artificial Intelligence Developing Services,100266.0,72,721,7210,Research and experimental development on social sciences and humanities,,SHAMS,
Artistic Production Contracting Services,100272.0,59,591,5913,"Motion picture, video and television programme distribution activities",,SHAMS,
Artistic work including preparation of litho stones and prepared woodblocks,100274.0,18,181,1812,Service activities related to printing,,SHAMS,
Artwork for cosmetic Craft,100275.0,32,329,3290,Other manufacturing n.e.c.,,SHAMS,
Assembly of self-standing furniture,100280.0,95,952,9524,Repair of furniture and home furnishings,,SHAMS,
"Assessing insurance claims
 • Claims adjusting
 • Risk assessing
 • Risk and damage evaluation
 • Average and loss adjusting",100281.0,66,662,6621,Risk and damage evaluation,,SHAMS,
"Associations for the pursuit of a cultural or recreational activity or hobby (other than sports or games), e.g. poetry, literature and book clubs, historical clubs, gardening clubs, film and photo clubs, music and art clubs, craft and collectors’ clubs, social clubs, carnival clubs etc.",100286.0,94,949,9499,Activities of other membership organizations n.e.c.,,SHAMS,
"Associations of youth, young persons’ associations, student associations and fraternities etc.",100287.0,94,949,9499,Activities of other membership organizations n.e.c.,,SHAMS,
Audio Recorded Media Distribution,100297.0,59,592,5920,Sound recording and music publishing activities,,SHAMS,
Audio Recordings Publication,100300.0,58,581,5811,Book publishing,,SHAMS,
Audio Studios Services,100301.0,59,592,5920,Sound recording and music publishing activities,,SHAMS,
"Audio Visual, Recording Equipment & Accessories Trading",100302.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SHAMS,
Automobile associations,100332.0,45,451,4510,Sale of motor vehicles,,SHAMS,
Aviation consultancy,100340.0,52,522,5229,Other transportation support activities,,SHAMS,
Bar code imprinting services,100375.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Bill auditing and freight rate information,100407.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
"Binding of printed sheets, e.g. into books, brochures, magazines, catalogues etc., byfolding, assembling, stitching, glueing, collating, basting, adhesive binding, trimming, gold stamping",100412.0,18,181,1812,Service activities related to printing,,SHAMS,
Blogging Services,100431.0,63,639,6391,Web portals,,SHAMS,
Blueprinting,100434.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,SHAMS,
Book publishing,100444.0,58,581,5811,Book publishing,,SHAMS,
Bottle cleaning,100458.0,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
Branding and Corporate Identity,100471.0,73,732,7320,Market research and public opinion polling,,SHAMS,
"Broadcasting audio signals through radio broadcasting studios and facilities for the transmission of aural programming to the public, to affiliates or to subscribers",100481.0,60,601,6010,Radio broadcasting,,SHAMS,
Business & applications follow up services,100516.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
"Business brokerage activities, i.e. arranging for the purchase and sale of small and medium-sized businesses, including professional practices, but not including real estate brokerage",100519.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Business support service activities n.e.c.,100528.0,82,829,8290,Business support service activities n.e.c.,,SHAMS,
Businessman services,100530.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Cafeterias,100542.0,56,561,5610,Restaurants and mobile food service activities,,SHAMS,
"Camps, sports instruction",100551.0,85,854,8541,Sports and recreation education,,SHAMS,
Card game instruction (such as bridge),100569.0,85,854,8541,Sports and recreation education,,SHAMS,
Cargo freight consultancy,100577.0,70,702,7020,Management consultancy activities,,SHAMS,
Cargo handling,100578.0,52,522,5224,Cargo handling,,SHAMS,
Cartoons Production,100603.0,59,591,5913,"Motion picture, video and television programme production activities",,SHAMS,
Centralized administrative offices,100634.0,70,701,7010,Activities of head offices,,SHAMS,
"Certification of products, including consumer goods, motor vehicles, aircraft, pressurized containers, nuclear plants etc.",100640.0,71,712,7120,Technical testing and analysis,,SHAMS,
Chemical industries consultancy,100658.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
Choreography,100685.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Cinematic Studios Services,100690.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Civil engineering consultancy,100695.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
Cleaning activities,100703.0,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
Cleaning of industrial machinery,100706.0,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
Cleaning of the inside of road and sea tankers,100708.0,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
"Cleaning of trains, buses, planes, etc.",100709.0,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
Cloud Computing Services,100723.0,63,639,6391,"Data processing, hosting and related activities",,SHAMS,
"Collection of payments for claims and remittance of payments collected to the clients, such as bill or debt collection services",100751.0,82,829,8291,Activities of collection agencies and credit bureaus,,SHAMS,
College board preparation,100757.0,85,854,8549,Other education n.e.c.,,SHAMS,
Combined facilities support activities,100760.0,81,811,8110,Combined facilities support activities,,SHAMS,
"Commercial and consumer photograph production:
 • Portrait photography for passports, schools, weddings etc.
 • Photography for commercials, publishers, fashion, real estate or tourism purposes
 • Aerial photography
 • Videotaping of events: weddings, meetings etc.",100763.0,74,742,7420,Photographic activities,,SHAMS,
Commercial brokerage services,100766.0,46,461,4610,Wholesale on a fee or contract basis,,SHAMS,
Commercial Brokers,100766.0,46,461,4610,Wholesale on a fee or contract basis,,SHAMS,
Commercial Publications Editing,100772.0,58,581,5811,Book publishing,,SHAMS,
Communication consultancy,100776.0,70,702,7020,Management consultancy activities,,SHAMS,
"Compiling of information, such as credit and employment histories on individuals and credit histories on businesses and providing the information to financial institutions, retailers and others who have a need to evaluate the creditworthiness of these persons and businesses",100783.0,82,829,8291,Activities of collection agencies and credit bureaus,,SHAMS,
Compliance consultancy,100785.0,66,661,6619,Other activities auxiliary to financial service activities,,SHAMS,
Composition and Typesetting,100787.0,18,181,1811,Service activities related to printing,,SHAMS,
"Composition, typesetting, phototypesetting, pre-press data input including scanning and optical character recognition, electronic make-up",100787.0,18,181,1812,Service activities related to printing,,SHAMS,
Computer consultancy and computer facilities management activities,100792.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
Computer disaster recovery,100793.0,62,620,6209,Other information technology and computer service activities,,SHAMS,
Computer programming activities,100801.0,62,620,6201,Computer programming activities,,SHAMS,
"Computer programming, consultancy and related activities",100801.0,62,620,6200,"Computer programming, consultancy and related activities",,SHAMS,
Computer System Housing Services,100807.0,63,639,6391,"Data processing, hosting and related activities",,SHAMS,
Computer Systems and Software Designing,100810.0,62,620,6202,Computer programming activities,,SHAMS,
Computer training,100813.0,85,854,8549,Other education n.e.c.,,SHAMS,
Concept & design consultancy,100816.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
"Concession operation of coin-operated personal service machines (photo booths, weighing machines, machines for checking blood pressure, coin-operated lockers etc.)",100817.0,96,960,9609,Other personal service activities n.e.c.,,SHAMS,
"Conducting marketing campaigns and other advertising services aimed at attracting and retaining customers:
 • Promotion of products
 • Point-of-sale marketing
 • Direct mail advertising
 • Marketing consulting",100823.0,73,731,7310,Advertising,,SHAMS,
"Connecting of electric appliances and household equipment, including baseboard heating",100829.0,43,432,4321,Electrical installation,,SHAMS,
Consultancy and Studies and Researches in Literature and Arts,100855.0,72,722,7220,Research and experimental development on social sciences and humanities,,SHAMS,
Consulting and advertising studies,100862.0,73,731,7310,Advertising,,SHAMS,
Consulting and research and development in the field of technology education,100863.0,72,721,7210,Research and experimental development on natural sciences and engineering,,SHAMS,
Content Rights Management,100879.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Copying of Computer Software,100896.0,18,181,1811,Reproduction of recorded media,,SHAMS,
Corporate Content Provider,100900.0,58,581,5819,Other publishing activities,,SHAMS,
Corporate offices,100901.0,70,701,7010,Activities of head offices,,SHAMS,
Corporate services provider,100781.0,70,701,7010,Activities of head offices,,SHAMS,
