activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Aircraft Spare Parts & Components Trading,100167.0,47,477,4773,Other retail sale of new goods in specialized stores,,Meydan,
Airline Inflight Products Trading,100173.0,46,465,4659,Wholesale of other machinery and equipment,,Meydan,
Airplane Management & Operation,100176.0,52,522,5223,Service activities incidental to air transportation,,Meydan,
Airport Equipment & Aircraft Spare Parts Storage Services,100177.0,52,521,5210,Warehousing and storage,,Meydan,
Airport Equipment Trading,100178.0,46,465,4659,Wholesale of other machinery and equipment,,Meydan,
Airport Ground Services,100179.0,52,522,5223,Service activities incidental to air transportation,,Meydan,
Airport Runways Cleaning Services,100181.0,81,812,8129,Other building and industrial cleaning activities,,Meydan,
Ambulance Services,100198.0,86,869,8690,Other human health activities,,Meydan,
Ambulance Transport Of Patients By Any Mode Of Transport Including Airplanes. These Services Are Often Provided During A Medical Emergency,100199.0,86,869,8690,Other human health activities,,Meydan,
American Football Training,100201.0,93,931,9312,Activities of sports clubs,,Meydan,
Amusement Parks And Theme Parks,100203.0,93,932,9320,Other amusement and recreation activities,,Meydan,
"Amusement Parks Or Theme Parks, Including The Operation Of A Variety Of Attractions, Such As Mechanical Rides, Water Rides, Games, Shows, Theme Exhibits And Picnic Grounds",100203.0,93,932,9321,Activities of amusement parks and theme parks,,Meydan,
Anesthesia & Pain Therapy Clinic,100204.0,86,862,8620,Medical and dental practice activities,,Meydan,
Animal & Birds Feed Trading,100206.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,Meydan,
Animal & Poultry Farms Equipment Trading,100207.0,46,465,4659,Wholesale of other machinery and equipment,,Meydan,
Animal Ambulance Activities,100208.0,75,750,7500,Veterinary activities,,Meydan,
Animal Etiquette & Behavior Consultant,100209.0,75,750,7500,Veterinary activities,,Meydan,
Animal Fodder Supplements Trading,100212.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,Meydan,
Animal Health Care And Control Activities For Farm Animals,100213.0,75,750,7500,Veterinary activities,,Meydan,
