activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Basic Industrial Chemicals Trading,100380.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,ANVC,
Basic Non Ferrous Metal Products Trading,100381.0,46,466,4662,Wholesale of metals and metal ores,,ANVC,
Basic Steel Products Trading,100383.0,46,466,4662,Wholesale of metals and metal ores,,ANVC,
Beauty & Personal Care Equipment Trading,100393.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Beauty & Personal Care Requisites Trading,100395.0,46,464,4649,Wholesale of other household goods,,ANVC,
Bicycles & Spare Parts Trading,100403.0,46,464,4649,Wholesale of other household goods,,ANVC,
Billboards Advertising,100408.0,73,731,7310,Advertising,,ANVC,
Billing Services Provider,100411.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,ANVC,
Biodegradable & Compostable Products Trading,100413.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Blank Cassette Trading,100419.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,ANVC,
"Blankets, Towels & Linens Trading",100420.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,ANVC,
"Bolts, Nuts, Screws & Nails Trading",100443.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Branding Services,100472.0,73,732,7320,Market research and public opinion polling,,ANVC,
Bread & Bakery Products Trading,100473.0,46,463,4630,"Wholesale of food, beverages and tobacco",,ANVC,
Bricks Making Equipment Trading,100476.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Bricks Trading,100478.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Building & Construction Materials Trading,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Building & Construction Materials Trading Import & Export,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Building & Construction Materials Wholesale Trading,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Building Cleaning Equipment Trading,100489.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Building Hardware & Tools Trading,100496.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,ANVC,
Building Maquette & Model Making Technical Services,100498.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,ANVC,
Building Maquettes & Models Requisites Trading,100499.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,ANVC,
Building Metal Products Trading,100502.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,ANVC,
Buses & Trucks Trading For Export (Outside UAE),100514.0,45,451,4510,Sale of motor vehicles,,ANVC,
Business Incubator,100525.0,70,702,7020,Management consultancy activities,,ANVC,
Businessmen Administrative Services,100531.0,82,829,8299,Other business support service activities n.e.c.,,ANVC,
Calculators & Spare Parts Trading,100543.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,ANVC,
Calligraphers & Painters,100547.0,74,741,7410,Specialized design activities,,ANVC,
Camping Requisites Trading,100550.0,47,476,4763,Retail sale of sporting equipment in specialized stores,,ANVC,
Canned & Preserved Food Trading,100553.0,46,463,4630,"Wholesale of food, beverages and tobacco",,ANVC,
Caps & Lids Trading,100555.0,46,469,4690,Non-specialized wholesale trade,,ANVC,
Car Parking Systems & Equipment Trading,100559.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Carbon Control Systems Trading,100566.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Cargo Containers Rental,100575.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,ANVC,
Cargo Containers Trading,100576.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Cargo Freight Consultancy,100577.0,70,702,7020,Management consultancy activities,,ANVC,
Cargo Handling,100578.0,52,522,5224,Cargo handling,,ANVC,
Cars Tyres and Outfit Trading - Import & Export,100600.0,45,453,4530,Sale of motor vehicle parts and accessories,,ANVC,
Cement & Gypsum Trading,100624.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Cement Products Trading,100626.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Central Ventilators & Air Filters Trading,100633.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Ceramic & Chinaware Trading,100635.0,46,464,4649,Wholesale of other household goods,,ANVC,
Chandeliers Trading,100645.0,46,464,4649,Wholesale of other household goods,,ANVC,
Charcoal & Firewood Trading,100646.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,ANVC,
Chemical Fertilizers Trading,100656.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,ANVC,
Children Games & Baby Care Requisites Rental,100673.0,77,772,7721,Renting and leasing of recreational and sports goods,,ANVC,
Choreography,100685.0,90,900,9000,"Creative, arts and entertainment activities",,ANVC,
City Cleaning Equipment Trading,100692.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Cleanroom Systems Trading,100711.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Cloth Hangers Trading,100716.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,ANVC,
Cloud Service & Datacenters Providers,100724.0,63,631,6311,"Data processing, hosting and related activities",,ANVC,
Coffee Trading,100735.0,46,463,4630,"Wholesale of food, beverages and tobacco",,ANVC,
Collateral Management Services,100741.0,66,661,6619,Other activities auxiliary to financial service activities,,ANVC,
Combined Office Administrative Service Activities,100761.0,82,821,8211,Combined office administrative service activities,,ANVC,
Commercial Brokers,100766.0,46,461,4610,Wholesale on a fee or contract basis,,ANVC,
Commercial Information Services,100770.0,70,702,7020,Management consultancy activities,,ANVC,
Commercial Photographs Production,100771.0,74,742,7420,Photographic activities,,ANVC,
Commercial Publications Editing,100772.0,58,581,5811,Book publishing,,ANVC,
Companies Representation,100780.0,70,701,7010,Activities of head offices,,ANVC,
Computer & Data Processing Requisites Trading,100790.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,ANVC,
Computer Consultancy And Computer Facilities Management Activities,100792.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Computer Electric Accessories Trading,100794.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,ANVC,
Computer Equipment Requisites Trading,100796.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,ANVC,
Computer Graphic Design Services,100797.0,62,620,6201,Computer programming activities,,ANVC,
Computer Programming Activities,100801.0,62,620,6201,Computer programming activities,,ANVC,
Computer System Housing Services,100807.0,63,631,6311,"Data processing, hosting and related activities",,ANVC,
Computer Systems & Communication Equipment Software Design,100808.0,62,620,6201,Computer programming activities,,ANVC,
Computer Systems & Communication Equipment Software Trading,100809.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,ANVC,
Computer Systems and Software Designing,100810.0,62,620,6201,Computer programming activities,,ANVC,
Computer Systems Consultancies,100811.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Computers & Peripheral Equipment Trading,100815.0,46,465,4651,"Wholesale of computers, computer peripheral equipment and software",,ANVC,
Concept & Design Consultancy,100816.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Concierge Services,100818.0,81,811,8110,Combined facilities support activities,,ANVC,
Confectionery & Chocolate Trading,100825.0,46,463,4630,"Wholesale of food, beverages and tobacco",,ANVC,
Conferences & Seminars Organizing,100827.0,82,823,8230,Organization of conventions and trade shows,,ANVC,
Conferences and Symposiums Organization and Management,100828.0,82,823,8230,Organization of conventions and trade shows,,ANVC,
Construction Chemicals Trading,100835.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,ANVC,
Construction Equipment & Machinery Rental,100838.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,ANVC,
Construction Equipment & Machinery Spare Parts Trading,100839.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Construction Equipment & Machinery Trading,100840.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Consultancy and Studies and Researches in Renewable Energy,100856.0,72,721,7210,Research and experimental development on natural sciences and engineering,,ANVC,
Consulting and research and development in the field of technology education,100863.0,72,721,7210,Research and experimental development on natural sciences and engineering,,ANVC,
Cookers & Cook Stoves Trading,100888.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,ANVC,
Cooking Consultant,100890.0,70,702,7020,Management consultancy activities,,ANVC,
Corporate Services Provider (CSP),100781.0,70,701,7010,Activities of head offices,,ANVC,
Cost Control & Risk Management Services,100910.0,70,702,7020,Management consultancy activities,,ANVC,
"Costumes, Shoes & Personal Items Rental",100913.0,77,772,7729,Renting and leasing of other personal and household goods,,ANVC,
Cotton & Natural Fibers Trading,100914.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,ANVC,
Crane Rails & Fixing Accessories Trading,100919.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,ANVC,
Creating and Implementing Code Structure and Content,100921.0,62,620,6201,Computer programming activities,,ANVC,
"Creative, Arts And Entertainment Activities",100928.0,90,900,9000,"Creative, arts and entertainment activities",,ANVC,
Crystal Products Trading,100948.0,46,464,4649,Wholesale of other household goods,,ANVC,
Curtains & Upholstery Fabrics Trading,100955.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,ANVC,
Customs Broker,100963.0,52,522,5229,Other transportation support activities,,ANVC,
Customs Clearance Services,100964.0,52,522,5229,Other transportation support activities,,ANVC,
Cutlery & Silverware Trading,100966.0,46,464,4649,Wholesale of other household goods,,ANVC,
Cyber Risk Management Services,100975.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Cyber Security Architecture,100976.0,62,620,6201,Computer programming activities,,ANVC,
Cyber Security Consultancy,100977.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Data Classification & Analysis Services,100985.0,63,631,6311,"Data processing, hosting and related activities",,ANVC,
Data Entry Services,100987.0,63,631,6311,"Data processing, hosting and related activities",,ANVC,
Data Management & Cyber Security Services,100988.0,63,631,6311,"Data processing, hosting and related activities",,ANVC,
"Data Processing, Hosting And Related Activities",100991.0,63,631,6311,"Data processing, hosting and related activities",,ANVC,
Dates Trading,100999.0,47,472,4721,Retail sale of food in specialized stores,,ANVC,
Decoration Materials & Partitions Trading,101010.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Design & Artwork Services,101027.0,18,181,1812,Service activities related to printing,,ANVC,
Design & Production Of Frame Prototypes,101028.0,74,741,7410,specialized design activities,,ANVC,
Design Services,101032.0,74,741,7410,Specialized design activities,,ANVC,
Detergents & Disinfectants Trading,101043.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,ANVC,
Development and innovation in medical instruments and supplies,101049.0,70,702,7020,Management consultancy activities,,ANVC,
Diesel Fuel Trading (Outside UAE),101059.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,ANVC,
Digital Analytics Services,101062.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Digital Content Services,101064.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Digital Platforms & Services,101070.0,62,620,6202,Computer consultancy and computer facilities management activities,,ANVC,
Disinfecting Booths & Equipment Trading,101085.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Distribution Of Advertising Materials & Samples,101106.0,73,731,7310,Advertising,,ANVC,
Diving Equipment Trading,101114.0,47,476,4763,Retail sale of sporting equipment in specialized stores,,ANVC,
