activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Audio Recorded Media Distribution,100297.0,59,592,5920,Sound recording and music publishing activities,,SRTIP,
"Audio-Visual, Recording Equipment and Accessories Trading",100302.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SRTIP,
"Authentic Antiques, Artefacts and Original Artworks Trading",100308.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Auto Spare Parts and Components Trading,100324.0,45,453,4530,Sale of motor vehicle parts and accessories,,SRTIP,
Auto Washing Equipment Trading,100328.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Automatic Gates and Barriers Trading,100330.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Automobile Engineering Consultancy,100334.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Automobile Trading,100336.0,45,451,4510,Sale of motor vehicles,,SRTIP,
Aviation Business Brokerage Services,100337.0,52,522,5229,Other transportation support activities,,SRTIP,
Aviation Business Coordination,100338.0,52,522,5229,Other transportation support activities,,SRTIP,
Aviation Consultancy,100340.0,52,522,5229,Other transportation support activities,,SRTIP,
Baby Care Requisites Trading,100351.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Baby Food Trading,100353.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
Baby Wear Trading,100355.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,SRTIP,
Bakeries and Flour Mills Equipment Trading,100362.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
"Bamboo, Cane and Wicker Products Trading",100369.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,SRTIP,
Banking and Finance Consultancy,100373.0,66,661,6619,Other activities auxiliary to financial service activities,,SRTIP,
Banking Services Consultancy,100373.0,66,661,6619,Other activities auxiliary to financial service activities,,SRTIP,
Basic Industrial Chemicals Trading,100380.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SRTIP,
Batteries Trading,100389.0,45,453,4530,Sale of motor vehicle parts and accessories,,SRTIP,
Beauty and Personal Care Products Trading,100397.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Beauty and Personal Care Requisites Trading,100395.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Bicycles and Spare Parts Trading,100403.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Biodegradable and Compostable Products Trading,100413.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
Blank Cassettes Trading,100419.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SRTIP,
"Blankets, Towels and Linens Trading",100420.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,SRTIP,
Blast Furnaces and Smelters Trading,100423.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
"Bolts, Nuts, Screws and Nails Trading",100443.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SRTIP,
"Books, Newspapers and Publications Trading",100454.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Booth Selling Potatoes,100455.0,47,478,4781,"Retail sale via stalls and markets of food, beverages and tobacco products",,SRTIP,
Branding and Corporate Identity Services,100471.0,73,732,7320,Market research and public opinion polling,,SRTIP,
Branding Services,100472.0,73,732,7320,Market research and public opinion polling,,SRTIP,
Bread and Bakery Products Trading,100473.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
